"","year","species","treatment","replicate","abundance"
"1",1995,"Alloperla","control",1,0
"2",1995,"Alloperla","control",2,0
"3",1995,"Alloperla","control",3,4
"4",1995,"Alloperla","control",4,3
"5",1995,"Alloperla","control",5,3
"6",1995,"Alloperla","control",6,3
"7",1995,"Alloperla","control",7,0
"8",1995,"Alloperla","control",8,0
"9",1995,"Alloperla","control",9,1
"10",1995,"Alloperla","control",10,0
"11",1995,"Alloperla","medium",1,2
"12",1995,"Alloperla","medium",2,6
"13",1995,"Alloperla","medium",3,0
"14",1995,"Alloperla","medium",4,2
"15",1995,"Alloperla","medium",5,6
"16",1995,"Alloperla","medium",6,3
"17",1995,"Alloperla","medium",7,4
"18",1995,"Alloperla","medium",8,1
"19",1995,"Alloperla","medium",9,2
"20",1995,"Alloperla","medium",10,4
"21",1995,"Amphinemura","control",1,34
"22",1995,"Amphinemura","control",2,0
"23",1995,"Amphinemura","control",3,33
"24",1995,"Amphinemura","control",4,34
"25",1995,"Amphinemura","control",5,18
"26",1995,"Amphinemura","control",6,3
"27",1995,"Amphinemura","control",7,18
"28",1995,"Amphinemura","control",8,2
"29",1995,"Amphinemura","control",9,46
"30",1995,"Amphinemura","control",10,24
"31",1995,"Amphinemura","high",1,9
"32",1995,"Amphinemura","high",2,24
"33",1995,"Amphinemura","high",3,53
"34",1995,"Amphinemura","high",4,15
"35",1995,"Amphinemura","high",5,59
"36",1995,"Amphinemura","high",6,37
"37",1995,"Amphinemura","high",7,92
"38",1995,"Amphinemura","high",8,89
"39",1995,"Amphinemura","high",9,28
"40",1995,"Amphinemura","high",10,44
"41",1995,"Amphinemura","low",1,0
"42",1995,"Amphinemura","low",2,0
"43",1995,"Amphinemura","low",3,0
"44",1995,"Amphinemura","low",4,0
"45",1995,"Amphinemura","low",5,0
"46",1995,"Amphinemura","low",6,1
"47",1995,"Amphinemura","low",7,1
"48",1995,"Amphinemura","low",8,0
"49",1995,"Amphinemura","low",9,0
"50",1995,"Amphinemura","low",10,0
"51",1995,"Amphinemura","medium",1,86
"52",1995,"Amphinemura","medium",2,242
"53",1995,"Amphinemura","medium",3,73
"54",1995,"Amphinemura","medium",4,60
"55",1995,"Amphinemura","medium",5,104
"56",1995,"Amphinemura","medium",6,96
"57",1995,"Amphinemura","medium",7,64
